,text,label
0,"на работе был полный пиддес :| и так каждое закрытие месяца, я же свихнусь так D:",negative
1,"Коллеги сидят рубятся в Urban terror, а я из-за долбанной винды не могу :(",negative
2,@elina_4post как говорят обещаного три года ждут...((,negative
3,"Желаю хорошего полёта и удачной посадки,я буду очень сильно скучать(",negative
4,"Обновил за каким-то лешим surf, теперь не работает простоплеер :(",negative
5,"Котёнка вчера носик разбила, плакала и расстраивалась :(",negative
6,"@juliamayko @O_nika55 @and_Possum Зашли, а то он опять затихарился, я прямо физически страдаю, когда он долго молчит!(((",negative
7,а вообще я не болею -  я не выздоравливаю :(,negative
8,я микрофраза :( учимся срать кирпичами в режиме &amp;quot;нон-стоп&amp;quot; @niwoqisipapy,negative
9,"я хочу с тобой помириться , но сука я гордая и никогда этого не сделаю! (((",negative
10,@DNO_OKEANA_A3A3 @MOE_MOPE_A3A3 тебя ебет какие у меня фотки.я про твои молчу.и вообще ты хоть знаешь как ТП то выглядят...,negative
11,Блин начали сниться сны( Не когда почти не снились ! А теперь можно сказать каждый день такое ! Мне это не нравиться ((((((((((,negative
12,"@realVold На твоем месте, я бы сначала телек купил бы(",negative
13,@faraonbgr111 плохо боишься значит(( ты где? В мск бгр?,negative
14,А я хотела... электромобиль =(,negative
15,Скоро увижу твои зеленые глаза в последний раз(((,negative
16,"Вот это да, докатился,по-оранжевел патриот! Чо деется? :(( RT @SapelSV: #Бабки объединят #КПРФ и Навального?",negative
17,Ну уже 12:25 ночииии:(((( а я ничего не сделалаллалалалалалалвцмдэмппдпктцдкиицкп,negative
18,"@190299der я очень рада,но ты им разобьешь сердца:(
Мне их  жалко епт
мне оч жалко Влада
А всех остальных нет",negative
19,"Сегодня какой-то нехороший день у меня :-( Телефон наушники не опознает, у блога как-то умудрился шаблон сломать, да еще",negative
20,"думаю,на моем веку почта россии не поднимется со дна (((",negative
21,Мне одному   напоминает дом-2? Путин делает реалити-шоу? O_o,negative
22,ебааааа сейчас модуль будет по региональной экономике ((,negative
23,@kordalona_mars оооууу ты меня анфолловил чувак((,negative
24,вот так я встречаю зиму:((,negative
25,"@Kyo_oppa ну вот, туда медведь прикреплялся.",negative
26,чорт... хотела сходить в кино...  придется любоваться фильмом в уг качестве на компе(,negative
27,RT @arinaaaaonskul: Так плохо я себя не чувствовала давно :(,negative
28,"Как понизить температуру ноута? Снаружи +30, так что он постоянно раскалённый :(",negative
29,@Anastasia_pain думаешь упаду со стула? :(,negative
30,"@Deniska_perm да нет, но условия будут более спартанские :(",negative
31,"Хотела маме сделать сюрприз, как всегда все навернулось(",negative
32,я блин сутками его жду а он с друзьями общаться! с которыми ежедневно видится! :(,negative
33,"@Annya_Nik @YankaMurygina Так и думал:( 
Не судьба походу попасть к мастерам",negative
34,RT @davidmsk: У берегов Коста-Рики водятся 1600 видов рыб. А на берег выходят черепахи весом до 500 кг. Но я не видел :(,negative
35,"""@lisi_Ca: @maybe_reg49_27 @One_ENCLAVE @LyudaLa самая смешная из лисичек - тибетская. Это не фотошоп",negative
36,Потеряла креапления от борда. Как так! Я же их не снимала(,negative
37,RT @Ksenyamalischev: Устала от семинара;(,negative
38,"Опять простыла....!!!;(Все гуляют,катают,тусуют,а я!;(((Что за невезение!!!",negative
39,"@1libertad первые деньги пойдут на красные мокасины, потом на ремень гермес, потом на приору, а потом уже можно умереть :-/",negative
40,@volkova_v Мясорубка пожирает деньги налогоплательщиков... (((,negative
41,"@_rakka_ @brovo4ka а я не переношу соционику. это самый адовый бред, что я видел. и все как один помешались((",negative
42,"Пора делать уроки, учить Лермонтова ;(",negative
43,"@Romashka_Vera блин, он наверно уже не действителен уже( сама хочу там заказ сделать, а скидки нет(",negative
44,"Я так хотела побыстрее попробывать сырный суп,что обожгла весь язык,и вообще ни чего не чувствую(",negative
45,Внезапно настало лето? Дома из обоих кранов течёт холодная вода. :-/,negative
46,@natahin_ кто из СМИ первее - на того и ссылка в поисковике :(,negative
47,"@the_anechnaya @babooshkina блин, а мне халвы захотелось(",negative
48,"@only_069 ДА 
ВОСПАЛЕНИЕ ЛЕГКИХ
Я ПОЧТИ 2 НЕДЕЛИ В БОЛЬНИЦЕ ЛЕЖАЛА ( И В ТВИ ТОЖ НИ ЗАХОДИЛА",negative
49,"Каждое его смс,как доза.
Что вообще со мной происходить?; (",negative
50,"@first_timee хоть я и школота, но поверь, у нас то же самое :D общество профилирующий предмет типа)",positive
51,"Да, все-таки он немного похож на него. Но мой мальчик все равно лучше:D",positive
52,RT @KatiaCheh: Ну ты идиотка) я испугалась за тебя!!!,positive
53,"RT @digger2912: ""Кто то в углу сидит и погибает от голода, а мы ещё 2 порции взяли, хотя уже и так жрать не хотим"" :DD",positive
54,"@irina_dyshkant Вот что значит страшилка :D
Но блин,посмотрев все части,у тебя создастся ощущение,что авторы курили что-то :D",positive
55,ну любишь или нет? — Я не знаю кто ты бля:D,positive
56,"RT @SpoonLamer: Ох,900 :D ну это конечно же @twinkleAYO . Чтобы у нее было много друзей, ведь она такая мимими &lt;3",positive
57,RT @veregijytaqo: У тебя есть ухажёр? Нет - мои уши не кто не жрёт :D,positive
58,Поприветствуем моего нового читателя @Alexey1789 ;),positive
59,Теперь у меня есть частичка Сиднея :) #Sydney #SydneyOperaHouse,positive
60,"Люблю маму и папу!!!!а в остальное я так...-влюбляюсь, привязываюсь)))",positive
61,"RT @dicyziqecida: Как-то я забыла, что вчера приехал из деревни наш котэня и испугалась, когда он утром пришел ко мне общаться. :) Доброе у",positive
62,"@MrsRourke_s_tit @_vivante @dyu_bryun так было задумано, да :)",positive
63,"@Kruglova_Julia_  дааааа))
Ты... Ты... Ты и только ты...)*",positive
64,"@Alex_Shvarz :)) О, нет. Вы ведь всё равно обзоры урезаете? Просто одна версия сильно порезанная, а другая полная, только без мусора.",positive
65,"@Jyliaalex смотри там случайно в аспирантуру не попади, наука никого до добра не доводила)",positive
66,"RT @Abdullin_A_R: @LikhodedovaMary эхх, а в УГАТУ о контрольных предупреждают уже на контрольной)",positive
67,"@marinaysol а, а то подумала, что у тебя там пробежечка.)",positive
68,@xLesherx @4EU3 зря вы с этой хуйней шутите)) я много историй наблюдал в режиме рил времени по работе с русскими которые разбивались на них,positive
69,@Moscow_advokat Очень главное спасибо for   МЕДВЕД™ — он работал клоуном-аниматором!   :-))),positive
70,"У нас есть прекрасная история, как сдохнуть за неделю!!)",positive
71,"@Benjamin1610 сегодня столько поводов выпить, что я уже не могу усидеть на месте)",positive
72,@StalinGulag унылый?...наверное...вдруг его перед этим чпокнули?)))),positive
73,RT @lumenso: @GruzdevVladimir @Sergey_Degtyrev 1) При поддержке администрации МО Белевский район сборная Белевского района по,positive
74,Поприветствуем моего нового читателя @afyfglprwl ;),positive
75,"Как же хооорошо валяться, но мой бедный, обколотый попец хочет на прогулку)",positive
76,"Хоть у кого то заебись всё) Настюх, рада за тебя пиздец) прям искренне рада)) есть все же справедливость на свете)",positive
77,"да почему мне похуй то)
Новерное потому что еще не ночь темная) )",positive
78,"блин,хочется писать и писать))всякую хуйню пишу,но все равно хочется)",positive
79,@JuliaLacoste_ @Kate_Craik а мне хотя бы расскажите что по чем),positive
80,RT @Lubalubochka2: @edvard146 для тебя;),positive
81,"@1m_one я по первому не смотрю,поэтому качаю в инете)найди группу в вк Оттепель,там думаю все серии есть)",positive
82,Предвкушение  потрясающего уикенда  - Праздник света! Гулять ночи напролет и любоваться огнями :*,positive
83,"я рааааааад,ведь сегодня впереди вся ночь,сериалы,фильмы,книга и кофе:) идеальная ночка:)",positive
84,Списком надо! Всем гамузом. :D,positive
85,RT @StarScrim3: #RT Электрогенератор,positive
86,@mari_filimonova у меня нет фоток ))))) позже тогда кину )))),positive
87,Второй день подряд мне снятся сны с Ромой. Я сошла с ума) #RomaAcorn,positive
88,"RT @amytareva: -слушай, Коть, можно я этим боком встану, так лучше получается? :)
-а у меня наоборот этот! 
@PankratovaKotya лучший человек…",positive
89,RT @qotozobygl: почти в каждых Пиратах-РТ неимоверно радует своими политическими позициями в отсутствии понимания и фактов. :-),positive
90,"-Оля, ты очень добрая на самом деле. 
-А ты сучка злая. Бу на тебя
-Да я та еще тварь
-Заметь, ты сама это сказала
#диалогивофисе

Люблю их)",positive
91,"Не иду завтра в школу,первый раз мама так настойчиво не отпускала меня,спасиибки)",positive
92,Как же мне нравятся мужчины в строгих костюмах)) млею!,positive
93,"@LilSwallow так это пушистая скотина тоже дрыхнет круглые сутки. просыпается только, чтоб поорать возле миски)",positive
94,"@kgshel ахаха
да нормээ)) с моим врачем мне ничего не страшно))",positive
95,"Встречайте, мои супер одногруппницы, будущие историки искусства и моды:) #большиеоригиналы #попятницамносимчерное",positive
96,"все,я вас покидаю,результаты гляну вечером)#биатлон",positive
97,"RT @Dasha_crazy_69: @DashkaTeddy дыы))) но кто сказал, что я ВСЕ поняла ааххах?)",positive
98,Почти приехали в родное селенье!) @ москва-рига,positive
99,На*уй ваши Канары и Мальдивы ! Тут новая тема проскочила ! )),positive
